epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.8521,0.75091,2.49956,0.24709,0.83628,1.07631,0.99931,1,0.995,0.87614,0.96963,0.9703,0.96432,0.59994,0.48888,1.55618,0.16691,0.40099,0.85203,0.00024,0.00024,0.00024
2,110.348,0.7712,3.04638,0.2633,0.65425,1.05294,1,0.98808,0.995,0.87996,0.93993,0.92948,0.88616,0.4744,0.54815,2.33276,0.16097,0.45402,0.89893,0.0004901,0.0004901,0.0004901
3,163.014,0.84942,3.43044,0.28083,0.73716,1.1249,0.99912,1,0.995,0.85894,0.88115,0.88119,0.81397,0.30522,0.58216,2.6941,0.20562,0.57761,0.92462,0.000729904,0.000729904,0.000729904
4,215.983,0.8014,3.40915,0.28675,0.677,1.07788,0.96434,0.9505,0.99012,0.79276,0.66299,0.65347,0.47984,0.15871,0.75059,4.3562,0.23861,0.84316,1.02696,0.000959412,0.000959412,0.000959412
5,271.391,0.89509,3.71751,0.29888,0.73128,1.11049,0.81618,0.9604,0.88581,0.7236,0.70718,0.83168,0.65404,0.29063,0.63103,3.18582,0.17362,0.77246,0.96525,0.00117862,0.00117862,0.00117862
6,324.494,0.90482,4.14246,0.29529,0.83462,1.11107,0.97042,0.97444,0.99199,0.84049,0.87936,0.86139,0.82152,0.27391,0.69099,3.33637,0.16554,0.84789,0.99833,0.00138754,0.00138754,0.00138754
7,373.432,0.84315,3.84689,0.26793,0.70555,1.11035,0.90811,0.97847,0.97641,0.73016,0.8207,0.90099,0.8043,0.40471,0.8787,2.99826,0.15259,1.13875,1.09331,0.00158616,0.00158616,0.00158616
8,410.76,0.94691,3.60908,0.30276,0.7661,1.0914,0.83324,0.92079,0.95034,0.59544,0.74535,0.82178,0.79171,0.38196,1.13863,3.50498,0.15496,1.23609,1.31916,0.0017228,0.0017228,0.0017228
9,446.503,0.97936,3.49375,0.27918,0.78601,1.16127,0.8702,0.79208,0.90486,0.62969,0.78302,0.60745,0.62144,0.28705,0.98687,4.20517,0.25224,1.19898,1.1557,0.0016832,0.0016832,0.0016832
10,482.309,0.96986,3.36725,0.27733,0.75355,1.15687,0.91268,0.82789,0.92796,0.65565,0.81862,0.66337,0.68072,0.29643,0.93912,4.09649,0.25665,1.01467,1.15022,0.0016436,0.0016436,0.0016436
11,517.075,0.87718,3.37248,0.28777,0.69295,1.08077,0.863,0.9703,0.94645,0.73104,0.71718,0.79208,0.66283,0.25477,0.83719,3.56485,0.17911,0.71864,1.05879,0.001604,0.001604,0.001604
12,552.519,0.96885,3.43609,0.28924,0.76022,1.14081,0.96077,0.96996,0.99131,0.79409,0.8722,0.83168,0.77937,0.32216,0.77092,3.16639,0.1748,0.61875,1.01725,0.0015644,0.0015644,0.0015644
13,592.626,0.88065,3.32661,0.28927,0.71808,1.08959,0.98813,0.9604,0.99329,0.82969,0.93243,0.89109,0.88197,0.47872,0.68906,2.31046,0.15713,0.62002,0.99586,0.0015248,0.0015248,0.0015248
14,628.691,0.88096,3.1713,0.25894,0.7206,1.09433,0.99667,0.9802,0.9948,0.85184,0.96635,0.9505,0.96706,0.51837,0.62158,1.95544,0.11982,0.61326,0.93706,0.0014852,0.0014852,0.0014852
15,664.688,0.87886,3.2282,0.23653,0.69009,1.08408,0.99018,0.99861,0.9949,0.81045,0.95091,0.95901,0.9571,0.50265,0.6559,2.02534,0.11616,0.5775,0.94463,0.0014456,0.0014456,0.0014456
16,700.68,0.906,3.34059,0.24629,0.69542,1.08239,0.98132,0.9901,0.99243,0.78654,0.95137,0.9604,0.96957,0.36848,0.63147,2.40191,0.12556,0.63643,0.94381,0.001406,0.001406,0.001406
17,736.704,0.83037,3.10435,0.24976,0.64034,1.10169,0.96183,0.99807,0.96609,0.84113,0.93246,0.9703,0.92443,0.54928,0.56752,1.65019,0.1183,0.75876,0.89974,0.0013664,0.0013664,0.0013664
18,773.401,0.82355,2.97731,0.277,0.63832,1.06829,0.95652,1,0.96536,0.85125,0.93702,0.9802,0.93644,0.59623,0.53682,1.50697,0.11478,0.75564,0.89208,0.0013268,0.0013268,0.0013268
19,809.959,0.72631,2.50814,0.23195,0.59569,1.01619,0.96015,1,0.97474,0.83818,0.94113,0.9802,0.94519,0.56696,0.52977,1.68894,0.12703,0.5343,0.89344,0.0012872,0.0012872,0.0012872
20,846.145,0.81343,2.74393,0.23817,0.62649,1.07701,0.96687,1,0.9762,0.8697,0.95729,0.9901,0.96467,0.64158,0.4767,1.31011,0.13738,0.45632,0.86714,0.0012476,0.0012476,0.0012476
21,882.156,0.70579,2.33776,0.22572,0.55463,1.00577,0.99885,1,0.995,0.89306,0.99885,1,0.995,0.61589,0.46628,1.38517,0.12531,0.40539,0.86335,0.001208,0.001208,0.001208
22,919.215,0.84406,2.40062,0.22173,0.59138,1.10956,0.99898,1,0.995,0.90776,0.98909,0.9901,0.99035,0.69423,0.44426,1.26523,0.11976,0.35733,0.85464,0.0011684,0.0011684,0.0011684
23,956.439,0.7065,2.50769,0.24035,0.54647,1.03864,0.99761,1,0.995,0.91362,0.97786,0.9802,0.97607,0.63869,0.43967,1.31253,0.11541,0.35122,0.85172,0.0011288,0.0011288,0.0011288
24,993.46,0.72798,2.26148,0.23538,0.60455,1.02894,0.99713,1,0.995,0.90606,0.97738,0.9802,0.98242,0.68551,0.44658,1.2847,0.11214,0.36083,0.85525,0.0010892,0.0010892,0.0010892
25,1029.9,0.72629,2.42206,0.2153,0.58955,1.0039,0.98838,1,0.9948,0.90314,0.96874,0.9802,0.98367,0.64837,0.4528,1.31026,0.10949,0.36418,0.85907,0.0010496,0.0010496,0.0010496
26,1066.25,0.74023,2.77164,0.23054,0.56923,1.01971,0.98822,1,0.9948,0.91332,0.98822,1,0.9948,0.68758,0.45241,1.23636,0.10838,0.36139,0.85673,0.00101,0.00101,0.00101
27,1102.71,0.72529,2.15968,0.24101,0.54921,1.04211,0.9969,1,0.995,0.91361,0.98681,0.9901,0.99381,0.77243,0.42522,1.02002,0.1044,0.3539,0.85364,0.0009704,0.0009704,0.0009704
28,1138.99,0.65349,2.06651,0.22935,0.5045,0.99255,0.98882,1,0.995,0.9097,0.96924,0.9802,0.96649,0.61802,0.42112,1.41506,0.1046,0.3537,0.84856,0.0009308,0.0009308,0.0009308
